bn_instance,strategy,beta,sample_size,num_samples,is_cpdag,skeleton_TP,skeleton_FP,skeleton_FN,skeleton_SHD,TP,FP,FN,SHD,directed_precision,directed_recall,directed_F1,num_reversed,reversed_edges,num_undirected,undirected_edges,learned_edges_count,true_edges_count
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d2,,1000,1000,False,8,2,27,29,7,3,28,30,0.7,0.2,0.3111111111111111,1,"[('V5', 'V10')]",0,[],10,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d2,,10000,10000,False,23,0,12,12,18,5,17,17,0.782608695652174,0.5142857142857142,0.6206896551724138,5,"[('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V19', 'V21')]",0,[],23,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d2,,200,200,False,1,2,34,36,1,2,34,36,0.3333333333333333,0.02857142857142857,0.05263157894736842,0,[],0,[],3,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d2,,2000,2000,False,11,1,24,25,8,4,27,28,0.6666666666666666,0.22857142857142856,0.3404255319148936,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],12,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d2,,500,500,False,4,1,31,32,4,1,31,32,0.8,0.11428571428571428,0.19999999999999998,0,[],0,[],5,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d2,,5000,5000,False,14,0,21,21,11,3,24,24,0.7857142857142857,0.3142857142857143,0.44897959183673464,3,"[('V10', 'V20'), ('V15', 'V17'), ('V4', 'V22')]",0,[],14,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d3,,1000,1000,False,8,2,27,29,7,3,28,30,0.7,0.2,0.3111111111111111,1,"[('V5', 'V10')]",0,[],10,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d3,,10000,10000,False,23,0,12,12,18,5,17,17,0.782608695652174,0.5142857142857142,0.6206896551724138,5,"[('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V19', 'V21')]",0,[],23,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d3,,200,200,False,1,2,34,36,1,2,34,36,0.3333333333333333,0.02857142857142857,0.05263157894736842,0,[],0,[],3,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d3,,2000,2000,False,11,1,24,25,8,4,27,28,0.6666666666666666,0.22857142857142856,0.3404255319148936,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],12,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d3,,500,500,False,4,1,31,32,4,1,31,32,0.8,0.11428571428571428,0.19999999999999998,0,[],0,[],5,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d3,,5000,5000,False,14,0,21,21,11,3,24,24,0.7857142857142857,0.3142857142857143,0.44897959183673464,3,"[('V10', 'V20'), ('V15', 'V17'), ('V4', 'V22')]",0,[],14,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d4,,1000,1000,False,8,2,27,29,7,3,28,30,0.7,0.2,0.3111111111111111,1,"[('V5', 'V10')]",0,[],10,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d4,,10000,10000,False,23,0,12,12,18,5,17,17,0.782608695652174,0.5142857142857142,0.6206896551724138,5,"[('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V19', 'V21')]",0,[],23,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d4,,200,200,False,1,1,34,35,1,1,34,35,0.5,0.02857142857142857,0.05405405405405405,0,[],0,[],2,35
bn_N24_E35_01,hierarchy_monotonic_before_ess1_alpha0d4,,2000,2000,False,11,1,24,25,8,4,27,28,0.6666666666666666,0.22857142857142856,0.3404255319148936,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],12,35
