Method,Sample_Size,TP,FP
GES_ESS10,200,2.6,11.7
GES_ESS10,500,2.6,8.8
GES_ESS10,1000,3.3,6.6
GES_ESS10,2000,4.9,6.0
GES_ESS10,5000,5.2,7.5
GES_ESS10,10000,6.4,8.6
HC_BDeu_ESS10,200,3.4,10.8
HC_BDeu_ESS10,500,2.0,9.8
HC_BDeu_ESS10,1000,2.7,7.1
HC_BDeu_ESS10,2000,4.1,7.4
HC_BDeu_ESS10,5000,5.1,7.5
HC_BDeu_ESS10,10000,6.4,8.5
PC,200,0.0,0.0
PC,500,0.1,0.5
PC,1000,0.6,1.3
PC,2000,1.9,1.6
PC,5000,2.9,2.1
PC,10000,2.8,1.9
hierarchy_ESS10,200,4.7,7.5
hierarchy_ESS10,500,4.0,5.4
hierarchy_ESS10,1000,5.1,3.7
hierarchy_ESS10,2000,7.0,2.9
hierarchy_ESS10,5000,9.4,1.6
hierarchy_ESS10,10000,13.2,1.0
hierarchy_mono_before_ESS10,200,4.2,4.3
hierarchy_mono_before_ESS10,500,4.1,3.2
hierarchy_mono_before_ESS10,1000,5.5,2.6
hierarchy_mono_before_ESS10,2000,7.1,2.5
hierarchy_mono_before_ESS10,5000,9.4,1.5
hierarchy_mono_before_ESS10,10000,12.9,1.1
