Contrast,Metric,ESS,Sample_Size,Delta,Baseline_Value,Challenger_Value
contrast_2,TP,1,200,0.6999999999999997,1.6,2.3
contrast_2,TP,1,500,1.4,2.4,3.8
contrast_2,TP,1,1000,1.6999999999999997,2.9,4.6
contrast_2,TP,1,2000,3.3,4.0,7.3
contrast_2,TP,1,5000,5.699999999999999,8.3,14.0
contrast_2,TP,1,10000,6.999999999999998,12.9,19.9
contrast_2,TP,10,200,1.4000000000000004,6.5,7.9
contrast_2,TP,10,500,2.0999999999999996,6.4,8.5
contrast_2,TP,10,1000,2.3000000000000007,7.6,9.9
contrast_2,TP,10,2000,5.1000000000000005,7.3,12.4
contrast_2,TP,10,5000,8.399999999999999,11.3,19.7
contrast_2,TP,10,10000,8.7,15.8,24.5
contrast_2,FP,1,200,-11.600000000000001,14.4,2.8
contrast_2,FP,1,500,-5.8,7.6,1.8
contrast_2,FP,1,1000,-4.3,6.3,2.0
contrast_2,FP,1,2000,-5.4,7.9,2.5
contrast_2,FP,1,5000,-7.9,10.3,2.4
contrast_2,FP,1,10000,-11.299999999999999,13.2,1.9
contrast_2,FP,10,200,-16.7,35.9,19.2
contrast_2,FP,10,500,-13.599999999999998,28.9,15.3
contrast_2,FP,10,1000,-13.1,24.5,11.4
contrast_2,FP,10,2000,-13.8,20.8,7.0
contrast_2,FP,10,5000,-13.200000000000001,17.8,4.6
contrast_2,FP,10,10000,-12.100000000000001,15.8,3.7
contrast_2,skeleton_TP,1,200,-0.5,2.9,2.4
contrast_2,skeleton_TP,1,500,-0.39999999999999947,4.6,4.2
contrast_2,skeleton_TP,1,1000,-0.2999999999999998,5.7,5.4
contrast_2,skeleton_TP,1,2000,-0.8000000000000007,9.9,9.1
contrast_2,skeleton_TP,1,5000,-1.8999999999999986,18.0,16.1
contrast_2,skeleton_TP,1,10000,-4.199999999999999,25.9,21.7
contrast_2,skeleton_TP,10,200,-2.1000000000000014,10.8,8.7
contrast_2,skeleton_TP,10,500,-1.3000000000000007,11.3,10.0
contrast_2,skeleton_TP,10,1000,-2.200000000000001,13.8,11.6
contrast_2,skeleton_TP,10,2000,-1.8000000000000007,17.0,15.2
contrast_2,skeleton_TP,10,5000,-3.200000000000003,25.1,21.9
contrast_2,skeleton_TP,10,10000,-3.200000000000003,30.1,26.9
contrast_2,skeleton_FP,1,200,-10.399999999999999,13.1,2.7
contrast_2,skeleton_FP,1,500,-4.0,5.4,1.4
contrast_2,skeleton_FP,1,1000,-2.3,3.5,1.2
contrast_2,skeleton_FP,1,2000,-1.3,2.0,0.7
contrast_2,skeleton_FP,1,5000,-0.3,0.6,0.3
contrast_2,skeleton_FP,1,10000,-0.1,0.2,0.1
contrast_2,skeleton_FP,10,200,-13.200000000000003,31.6,18.4
contrast_2,skeleton_FP,10,500,-10.2,24.0,13.8
contrast_2,skeleton_FP,10,1000,-8.600000000000001,18.3,9.7
contrast_2,skeleton_FP,10,2000,-6.8999999999999995,11.1,4.2
contrast_2,skeleton_FP,10,5000,-1.6,4.0,2.4
contrast_2,skeleton_FP,10,10000,-0.19999999999999996,1.5,1.3
