Contrast,Metric,ESS,Sample_Size,Delta,Baseline_Value,Challenger_Value
contrast_1,TP,1,200,0.3999999999999999,1.6,2.0
contrast_1,TP,1,500,1.2000000000000002,2.4,3.6
contrast_1,TP,1,1000,1.6,2.9,4.5
contrast_1,TP,1,2000,3.2,4.0,7.2
contrast_1,TP,1,5000,5.5,8.3,13.8
contrast_1,TP,1,10000,7.200000000000001,12.9,20.1
contrast_1,TP,10,200,2.0,6.5,8.5
contrast_1,TP,10,500,2.5,6.4,8.9
contrast_1,TP,10,1000,2.5,7.6,10.1
contrast_1,TP,10,2000,5.000000000000001,7.3,12.3
contrast_1,TP,10,5000,8.3,11.3,19.6
contrast_1,TP,10,10000,8.7,15.8,24.5
contrast_1,FP,1,200,-2.0999999999999996,14.4,12.3
contrast_1,FP,1,500,-2.0,7.6,5.6
contrast_1,FP,1,1000,-2.2,6.3,4.1
contrast_1,FP,1,2000,-5.1000000000000005,7.9,2.8
contrast_1,FP,1,5000,-7.500000000000001,10.3,2.8
contrast_1,FP,1,10000,-11.399999999999999,13.2,1.8
contrast_1,FP,10,200,-4.399999999999999,35.9,31.5
contrast_1,FP,10,500,-6.399999999999999,28.9,22.5
contrast_1,FP,10,1000,-7.899999999999999,24.5,16.6
contrast_1,FP,10,2000,-10.700000000000001,20.8,10.1
contrast_1,FP,10,5000,-11.9,17.8,5.9
contrast_1,FP,10,10000,-11.600000000000001,15.8,4.2
contrast_1,skeleton_TP,1,200,-0.5,2.9,2.4
contrast_1,skeleton_TP,1,500,-0.39999999999999947,4.6,4.2
contrast_1,skeleton_TP,1,1000,-0.40000000000000036,5.7,5.3
contrast_1,skeleton_TP,1,2000,-1.200000000000001,9.9,8.7
contrast_1,skeleton_TP,1,5000,-2.0999999999999996,18.0,15.9
contrast_1,skeleton_TP,1,10000,-4.099999999999998,25.9,21.8
contrast_1,skeleton_TP,10,200,-1.1000000000000014,10.8,9.7
contrast_1,skeleton_TP,10,500,-1.1000000000000014,11.3,10.2
contrast_1,skeleton_TP,10,1000,-2.0,13.8,11.8
contrast_1,skeleton_TP,10,2000,-2.0,17.0,15.0
contrast_1,skeleton_TP,10,5000,-3.3000000000000007,25.1,21.8
contrast_1,skeleton_TP,10,10000,-3.200000000000003,30.1,26.9
contrast_1,skeleton_FP,1,200,-1.1999999999999993,13.1,11.9
contrast_1,skeleton_FP,1,500,-0.40000000000000036,5.4,5.0
contrast_1,skeleton_FP,1,1000,-0.20000000000000018,3.5,3.3
contrast_1,skeleton_FP,1,2000,-0.7,2.0,1.3
contrast_1,skeleton_FP,1,5000,0.09999999999999998,0.6,0.7
contrast_1,skeleton_FP,1,10000,-0.1,0.2,0.1
contrast_1,skeleton_FP,10,200,-1.3000000000000007,31.6,30.3
contrast_1,skeleton_FP,10,500,-2.8000000000000007,24.0,21.2
contrast_1,skeleton_FP,10,1000,-3.4000000000000004,18.3,14.9
contrast_1,skeleton_FP,10,2000,-3.6999999999999993,11.1,7.4
contrast_1,skeleton_FP,10,5000,-0.2999999999999998,4.0,3.7
contrast_1,skeleton_FP,10,10000,0.30000000000000004,1.5,1.8
