Contrast,Metric,ESS,Sample_Size,Delta,Baseline_Value,Challenger_Value
contrast_2,TP,1,200,0.7999999999999998,1.6,2.4
contrast_2,TP,1,500,1.4,2.4,3.8
contrast_2,TP,1,1000,1.6999999999999997,2.9,4.6
contrast_2,TP,1,2000,3.3,4.0,7.3
contrast_2,TP,1,5000,5.699999999999999,8.3,14.0
contrast_2,TP,1,10000,6.999999999999998,12.9,19.9
contrast_2,TP,10,200,2.0999999999999996,6.5,8.6
contrast_2,TP,10,500,2.299999999999999,6.4,8.7
contrast_2,TP,10,1000,2.5999999999999996,7.6,10.2
contrast_2,TP,10,2000,5.1000000000000005,7.3,12.4
contrast_2,TP,10,5000,8.399999999999999,11.3,19.7
contrast_2,TP,10,10000,8.7,15.8,24.5
contrast_2,FP,1,200,-11.4,14.4,3.0
contrast_2,FP,1,500,-5.8,7.6,1.8
contrast_2,FP,1,1000,-4.3,6.3,2.0
contrast_2,FP,1,2000,-5.4,7.9,2.5
contrast_2,FP,1,5000,-7.800000000000001,10.3,2.5
contrast_2,FP,1,10000,-11.299999999999999,13.2,1.9
contrast_2,FP,10,200,-10.7,35.9,25.2
contrast_2,FP,10,500,-11.0,28.9,17.9
contrast_2,FP,10,1000,-11.8,24.5,12.7
contrast_2,FP,10,2000,-13.200000000000001,20.8,7.6
contrast_2,FP,10,5000,-13.100000000000001,17.8,4.7
contrast_2,FP,10,10000,-12.0,15.8,3.8
contrast_2,skeleton_TP,1,200,-0.3999999999999999,2.9,2.5
contrast_2,skeleton_TP,1,500,-0.39999999999999947,4.6,4.2
contrast_2,skeleton_TP,1,1000,-0.2999999999999998,5.7,5.4
contrast_2,skeleton_TP,1,2000,-0.8000000000000007,9.9,9.1
contrast_2,skeleton_TP,1,5000,-1.8999999999999986,18.0,16.1
contrast_2,skeleton_TP,1,10000,-4.199999999999999,25.9,21.7
contrast_2,skeleton_TP,10,200,-1.200000000000001,10.8,9.6
contrast_2,skeleton_TP,10,500,-1.1000000000000014,11.3,10.2
contrast_2,skeleton_TP,10,1000,-1.9000000000000004,13.8,11.9
contrast_2,skeleton_TP,10,2000,-1.8000000000000007,17.0,15.2
contrast_2,skeleton_TP,10,5000,-3.200000000000003,25.1,21.9
contrast_2,skeleton_TP,10,10000,-3.200000000000003,30.1,26.9
contrast_2,skeleton_FP,1,200,-10.2,13.1,2.9
contrast_2,skeleton_FP,1,500,-4.0,5.4,1.4
contrast_2,skeleton_FP,1,1000,-2.3,3.5,1.2
contrast_2,skeleton_FP,1,2000,-1.3,2.0,0.7
contrast_2,skeleton_FP,1,5000,-0.19999999999999996,0.6,0.4
contrast_2,skeleton_FP,1,10000,-0.1,0.2,0.1
contrast_2,skeleton_FP,10,200,-7.400000000000002,31.6,24.2
contrast_2,skeleton_FP,10,500,-7.600000000000001,24.0,16.4
contrast_2,skeleton_FP,10,1000,-7.300000000000001,18.3,11.0
contrast_2,skeleton_FP,10,2000,-6.3,11.1,4.8
contrast_2,skeleton_FP,10,5000,-1.5,4.0,2.5
contrast_2,skeleton_FP,10,10000,-0.10000000000000009,1.5,1.4
