bn_instance,strategy,beta,sample_size,num_samples,is_cpdag,skeleton_TP,skeleton_FP,skeleton_FN,skeleton_SHD,TP,FP,FN,SHD,directed_precision,directed_recall,directed_F1,num_reversed,reversed_edges,num_undirected,undirected_edges,learned_edges_count,true_edges_count
bn_N12_E16_01,GES_ess1,,1000,1000,False,4,1,12,13,3,2,13,14,0.6,0.1875,0.2857142857142857,1,"[('V9', 'V11')]",0,[],5,16
bn_N12_E16_01,GES_ess1,,10000,10000,False,15,0,1,1,6,9,10,10,0.4,0.375,0.38709677419354843,9,"[('V5', 'V12'), ('V3', 'V12'), ('V1', 'V4'), ('V8', 'V11'), ('V6', 'V7'), ('V3', 'V4'), ('V9', 'V11'), ('V2', 'V3'), ('V1', 'V3')]",0,[],15,16
bn_N12_E16_01,GES_ess1,,200,200,False,0,0,16,16,0,0,16,16,0.0,0.0,0.0,0,[],0,[],0,16
bn_N12_E16_01,GES_ess1,,2000,2000,False,6,0,10,10,1,5,15,15,0.16666666666666666,0.0625,0.09090909090909091,5,"[('V5', 'V12'), ('V4', 'V12'), ('V9', 'V11'), ('V3', 'V5'), ('V2', 'V11')]",0,[],6,16
bn_N12_E16_01,GES_ess1,,500,500,False,1,3,15,18,0,4,16,19,0.0,0.0,0.0,1,"[('V2', 'V11')]",0,[],4,16
bn_N12_E16_01,GES_ess1,,5000,5000,False,8,0,8,8,5,3,11,11,0.625,0.3125,0.4166666666666667,3,"[('V4', 'V5'), ('V2', 'V11'), ('V1', 'V3')]",0,[],8,16
bn_N12_E16_01,GES_ess10,,1000,1000,False,5,3,11,14,4,4,12,15,0.5,0.25,0.3333333333333333,1,"[('V9', 'V11')]",0,[],8,16
bn_N12_E16_01,GES_ess10,,10000,10000,False,16,1,0,1,8,9,8,9,0.47058823529411764,0.5,0.48484848484848486,8,"[('V5', 'V12'), ('V3', 'V12'), ('V1', 'V4'), ('V8', 'V11'), ('V3', 'V4'), ('V9', 'V11'), ('V2', 'V3'), ('V1', 'V3')]",0,[],17,16
bn_N12_E16_01,GES_ess10,,200,200,False,5,5,11,16,2,8,14,19,0.2,0.125,0.15384615384615385,3,"[('V1', 'V4'), ('V5', 'V10'), ('V3', 'V12')]",0,[],10,16
bn_N12_E16_01,GES_ess10,,2000,2000,False,8,1,8,9,6,3,10,11,0.6666666666666666,0.375,0.4800000000000001,2,"[('V2', 'V11'), ('V9', 'V11')]",0,[],9,16
bn_N12_E16_01,GES_ess10,,500,500,False,3,3,13,16,2,4,14,17,0.3333333333333333,0.125,0.18181818181818182,1,"[('V5', 'V12')]",0,[],6,16
bn_N12_E16_01,GES_ess10,,5000,5000,False,12,1,4,5,6,7,10,11,0.46153846153846156,0.375,0.41379310344827586,6,"[('V1', 'V4'), ('V8', 'V11'), ('V9', 'V11'), ('V3', 'V5'), ('V1', 'V3'), ('V2', 'V11')]",0,[],13,16
bn_N12_E16_01,HC_BDeu_ess1,,1000,1000,False,4,1,12,13,3,2,13,14,0.6,0.1875,0.2857142857142857,1,"[('V1', 'V2')]",0,[],5,16
bn_N12_E16_01,HC_BDeu_ess1,,10000,10000,False,13,0,3,3,6,7,10,10,0.46153846153846156,0.375,0.41379310344827586,7,"[('V5', 'V12'), ('V8', 'V11'), ('V6', 'V7'), ('V1', 'V10'), ('V4', 'V12'), ('V9', 'V11'), ('V2', 'V3')]",0,[],13,16
bn_N12_E16_01,HC_BDeu_ess1,,200,200,False,0,0,16,16,0,0,16,16,0.0,0.0,0.0,0,[],0,[],0,16
bn_N12_E16_01,HC_BDeu_ess1,,2000,2000,False,6,0,10,10,0,6,16,16,0.0,0.0,0.0,6,"[('V5', 'V12'), ('V1', 'V10'), ('V4', 'V12'), ('V9', 'V11'), ('V3', 'V5'), ('V2', 'V11')]",0,[],6,16
bn_N12_E16_01,HC_BDeu_ess1,,500,500,False,1,3,15,18,0,4,16,19,0.0,0.0,0.0,1,"[('V2', 'V11')]",0,[],4,16
bn_N12_E16_01,HC_BDeu_ess1,,5000,5000,False,8,0,8,8,5,3,11,11,0.625,0.3125,0.4166666666666667,3,"[('V4', 'V5'), ('V2', 'V11'), ('V1', 'V3')]",0,[],8,16
bn_N12_E16_01,HC_BDeu_ess10,,1000,1000,False,5,4,11,15,4,5,12,16,0.4444444444444444,0.25,0.32,1,"[('V1', 'V2')]",0,[],9,16
bn_N12_E16_01,HC_BDeu_ess10,,10000,10000,False,15,1,1,2,9,7,7,8,0.5625,0.5625,0.5625,6,"[('V5', 'V12'), ('V8', 'V11'), ('V1', 'V10'), ('V9', 'V11'), ('V2', 'V3'), ('V5', 'V10')]",0,[],16,16
bn_N12_E16_01,HC_BDeu_ess10,,200,200,False,5,5,11,16,4,6,12,17,0.4,0.25,0.3076923076923077,1,"[('V5', 'V10')]",0,[],10,16
bn_N12_E16_01,HC_BDeu_ess10,,2000,2000,False,8,1,8,9,6,3,10,11,0.6666666666666666,0.375,0.4800000000000001,2,"[('V1', 'V10'), ('V2', 'V11')]",0,[],9,16
bn_N12_E16_01,HC_BDeu_ess10,,500,500,False,4,5,12,17,3,6,13,18,0.3333333333333333,0.1875,0.24000000000000005,1,"[('V1', 'V10')]",0,[],9,16
bn_N12_E16_01,HC_BDeu_ess10,,5000,5000,False,12,0,4,4,4,8,12,12,0.3333333333333333,0.25,0.28571428571428575,8,"[('V4', 'V5'), ('V8', 'V11'), ('V1', 'V10'), ('V9', 'V11'), ('V3', 'V5'), ('V2', 'V3'), ('V1', 'V3'), ('V5', 'V10')]",0,[],12,16
bn_N12_E16_01,PC,,1000,1000,True,3,1,13,14,1,1,15,15,0.5,0.0625,0.1111111111111111,1,"[('V5', 'V10')]",2,"[['V9', 'V11'], ['V1', 'V12']]",6,16
bn_N12_E16_01,PC,,10000,10000,True,7,0,9,9,2,4,14,14,0.3333333333333333,0.125,0.18181818181818182,4,"[('V3', 'V4'), ('V5', 'V12'), ('V3', 'V12'), ('V4', 'V12')]",1,"[['V6', 'V7']]",8,16
bn_N12_E16_01,PC,,200,200,True,1,0,15,15,0,0,16,16,0.0,0.0,0.0,0,[],1,"[['V1', 'V2']]",2,16
bn_N12_E16_01,PC,,2000,2000,True,6,0,10,10,4,0,12,12,1.0,0.25,0.4,0,[],2,"[['V3', 'V5'], ['V1', 'V10']]",8,16
bn_N12_E16_01,PC,,500,500,True,1,3,15,18,0,2,16,18,0.0,0.0,0.0,0,[],2,"[['V2', 'V11'], ['V5', 'V7']]",6,16
bn_N12_E16_01,PC,,5000,5000,True,5,0,11,11,0,4,16,16,0.0,0.0,0.0,4,"[('V3', 'V4'), ('V2', 'V11'), ('V3', 'V12'), ('V4', 'V12')]",1,"[['V8', 'V11']]",6,16
bn_N12_E16_01,hierarchy_ess1,,1000,1000,False,4,1,12,13,4,1,12,13,0.8,0.25,0.38095238095238093,0,[],0,[],5,16
bn_N12_E16_01,hierarchy_ess1,,10000,10000,False,13,0,3,3,10,3,6,6,0.7692307692307693,0.625,0.6896551724137931,3,"[('V4', 'V12'), ('V5', 'V12'), ('V2', 'V3')]",0,[],13,16
bn_N12_E16_01,hierarchy_ess1,,200,200,False,0,0,16,16,0,0,16,16,0.0,0.0,0.0,0,[],0,[],0,16
bn_N12_E16_01,hierarchy_ess1,,2000,2000,False,6,0,10,10,4,2,12,12,0.6666666666666666,0.25,0.36363636363636365,2,"[('V4', 'V12'), ('V2', 'V11')]",0,[],6,16
bn_N12_E16_01,hierarchy_ess1,,500,500,False,1,3,15,18,0,4,16,19,0.0,0.0,0.0,1,"[('V2', 'V11')]",0,[],4,16
bn_N12_E16_01,hierarchy_ess1,,5000,5000,False,8,0,8,8,6,2,10,10,0.75,0.375,0.5,2,"[('V4', 'V5'), ('V2', 'V11')]",0,[],8,16
bn_N12_E16_01,hierarchy_ess10,,1000,1000,False,5,2,11,13,5,2,11,13,0.7142857142857143,0.3125,0.43478260869565216,0,[],0,[],7,16
bn_N12_E16_01,hierarchy_ess10,,10000,10000,False,15,0,1,1,13,2,3,3,0.8666666666666667,0.8125,0.8387096774193549,2,"[('V5', 'V12'), ('V2', 'V3')]",0,[],15,16
bn_N12_E16_01,hierarchy_ess10,,200,200,False,5,3,11,14,4,4,12,15,0.5,0.25,0.3333333333333333,1,"[('V5', 'V10')]",0,[],8,16
